archivo,bytes,md5,sha256
.gitattributes,227,0e24e048d04cc9b05887cdde498e63fe,5121e8f576e4713e909b8b90fb4b47b59ca857f5c4324dc6c28b98630d73068e
.gitignore,1009,b30a8973f7c16e2bcf20c63d115874a2,9910162e4d83255f7d59d5e6cac86357a782bb7a0aeb9175e46856ca4aabb084
ABRIR_EN_RSTUDIO.md,2122,63e07157910d4eb37bf0edafd22fb90f,ddab72ae52ef063d0287031436f90afea1cdeb860c2832a40d3a371992787e29
CITATION.cff,706,8f7231dd6ab56404651ed903538fdd6b,d0a59d8903f11e1c3e893da88e4561f87a7693f3c12f1a461ab0be0ed171f02d
ESP1/Firmware nodo ESP1 - Variables Generador/CMakeLists.txt,408,42af811d90c095eeeafa92b2a55b505e,9b9a6ffeabdd25b4ca88615fd8d1342552c485f2dd574e36369a1d033796a93a
ESP1/Firmware nodo ESP1 - Variables Generador/README.md,2820,87e24a6d6d545cfa778ecbf4cbf23d50,27ba00e5f530bc21877313f9ae9b168d0094c040c6fd59a3b123b60dede91e9e
ESP1/Firmware nodo ESP1 - Variables Generador/components/minmea/CMakeLists.txt,80,74924e8860f0465342b166031e2ed120,03b97dcb270b6c84e8fa8abc50171b9f7988e5d57f07116ab9b83d5b518aa00b
ESP1/Firmware nodo ESP1 - Variables Generador/components/minmea/COPYING,479,ce56e5036d47ba643aa0d9940c5d9856,ee820ff0db4ce628569e0975ac27dc926052a9f85d102b101edb104311ef4d90
ESP1/Firmware nodo ESP1 - Variables Generador/components/minmea/minmea.c,20272,914f0bb33fe934fb71d0197c9ee455db,da020d1a95d697c3b2f4051fb66323be3ed216fc04043026d295672a9fcb9724
ESP1/Firmware nodo ESP1 - Variables Generador/components/minmea/minmea.h,8122,88addcc90f2897f8dc54002f03887795,722d6268ec7f80f00f6f4b71952d88000e880d20e9d50e7caedddcfe455394e7
ESP1/Firmware nodo ESP1 - Variables Generador/main/CMakeLists.txt,233,c33bcbb97a7389d7c159cfdf658af8c8,4b1a99a1d3090059f5f5cfc1ef0ef2a091f396aa305e90d0eb03c31b0b46b999
ESP1/Firmware nodo ESP1 - Variables Generador/main/main7.c,12682,702b6c943268d2e5a029944ec411669b,f2eb154fc9632114de535e71643d6b21be80e816e02c2797e4251b3f174654e3
ESP1/Firmware nodo ESP1 - Variables Generador/sdkconfig.defaults,68122,a3e4111ff0269e4e99fac55f33f432c1,50e1140efb6910746719cf25ce9f3e7a3ba658a06b526886564fbb8b98790ae4
ESP1/README.md,794,0294369f1c9652b762d0766c8e1ab1b1,cb222b8a3f206cfcde4aa704e02797c84fac6634029187b9e6daec13456125a0
